edad,ingresos_mensuales,gastos_fijos_mensuales,monto_prestamo,plazo_meses,historial_crediticio_score,deudas_actuales,ratio_deuda_ingreso,antiguedad_empleo_meses,numero_consultas_crediticias,dependientes,patrimonio_neto,tasa_interes_ofrecida,monto_ahorros,cuota_mensual_estimada,relacion_cuota_ingreso,nivel_educacion,situacion_laboral,tipo_vivienda,finalidad_prestamo,provincia,estado_civil,tipo_contrato,aprobado
56.0,1976.0,563.0,199232,84,579.0,5371.0,0.3052,189.0,1,1,8679.0,17.0,25018.0,4071.0,2.0602,Universitario,Desempleado,Hipotecada,Educacion,Madrid,Casado,Indefinido,1
69.0,4876.0,1901.0,204692,120,505.0,7727.0,0.2313,47.0,2,0,133133.0,16.7,2609.0,3519.0,0.7217,Postgrado,Fijo,Propia,Personal,Barcelona,Divorciado,Indefinido,1
46.0,1685.0,784.0,138734,60,758.0,3172.0,0.233,13.0,3,2,-12221.0,9.2,15414.0,2893.0,1.7169,Tecnico,Autonomo,Hipotecada,Negocio,Sevilla,Divorciado,Temporal,1
32.0,4526.0,2108.0,127961,24,633.0,7968.0,0.246,35.0,3,5,42177.0,15.0,25832.0,6204.0,1.3707,Universitario,Desempleado,Propia,Hipoteca,Barcelona,Casado,Practicas,1
60.0,2186.0,553.0,58706,240,771.0,5084.0,0.2625,52.0,5,2,31691.0,19.4,28158.0,970.0,0.4437,Secundaria,Fijo,Alquilada,Hipoteca,Valencia,Soltero,Temporal,1
25.0,1613.0,803.0,168038,36,660.0,15150.0,0.9137,18.0,2,1,114521.0,23.9,20975.0,6584.0,3.0,Secundaria,Temporal,Alquilada,Negocio,Madrid,Divorciado,Indefinido,0
38.0,3526.0,1497.0,133555,48,675.0,21179.0,0.5422,147.0,3,0,330253.0,11.9,2213.0,3510.0,0.9955,Postgrado,Autonomo,Alquilada,Hipoteca,Madrid,Soltero,Indefinido,1
56.0,800.0,552.0,67746,120,702.0,6074.0,0.7819,49.0,3,3,165730.0,11.9,83678.0,968.0,1.21,Tecnico,Fijo,Propia,Educacion,Madrid,Divorciado,Temporal,1
75.0,1043.0,417.0,87939,120,633.0,4380.0,0.4426,16.0,1,1,-80000.0,11.8,10389.0,1252.0,1.2004,Primaria,Fijo,Alquilada,Consolidacion,Sevilla,Casado,Indefinido,0
36.0,2680.0,1290.0,219165,240,629.0,22794.0,0.7222,23.0,1,0,179483.0,14.4,12516.0,2789.0,1.0407,Universitario,Jubilado,Alquilada,Consolidacion,Barcelona,Casado,Temporal,0
40.0,3132.0,1137.0,275092,12,672.0,35161.0,1.004,62.0,1,1,107878.0,22.0,35995.0,25747.0,3.0,Universitario,Desempleado,Familiar,Personal,Madrid,Divorciado,Practicas,0
28.0,2388.0,599.0,46499,180,762.0,17003.0,0.6529,131.0,1,0,-72878.0,7.5,1687.0,431.0,0.1805,Secundaria,Fijo,Alquilada,Personal,Valencia,Divorciado,Indefinido,1
28.0,1156.0,541.0,68288,120,695.0,2330.0,0.308,26.0,3,4,57688.0,19.0,6761.0,1275.0,1.1029,Tecnico,Desempleado,Alquilada,Personal,Bilbao,Soltero,Indefinido,1
41.0,1825.0,922.0,104217,60,652.0,60848.0,2.5,3.0,2,3,126690.0,13.0,13647.0,2371.0,1.2992,Sin estudios,Temporal,Propia,Hipoteca,Barcelona,Soltero,Temporal,0
70.0,3770.0,2011.0,204799,24,613.0,4261.0,0.1641,10.0,1,1,-31848.0,14.7,15019.0,9901.0,2.6263,Universitario,Desempleado,Propia,Hipoteca,Sevilla,Casado,Temporal,1
53.0,4226.0,1880.0,369393,60,639.0,7975.0,0.2657,0.0,3,0,-69243.0,17.1,3154.0,9200.0,2.177,Secundaria,Fijo,Alquilada,Hipoteca,Barcelona,Soltero,Temporal,0
